address,postcode,city,price,type,rooms,size_1,size_2
"Vipstjertevej 1, 3210 Vejby",3210,Vejby,2750000,Fritidsbolig,3,83,
"Falkevej 13, 3300 Frederiksværk",3300,Frederiksværk,2145000,Fritidsbolig,2,44,
"Dillet 7, 4874 Gedser",4874,Gedser,1775000,Fritidsbolig,4,85,
"Ålesaksen 4, 4780 Stege",4780,Stege,2200000,Fritidsbolig,3,90,
"Mejløvej 6, Bønnerup Strand, 8585 Glesborg",8585,Glesborg,1598000,Fritidsbolig,3,75,
"Rødhusparken 23, Rødhus, 9490 Pandrup",9490,Pandrup,1095000,Fritidsbolig,5,67,
"Havklitvej 12, Klegod, 6950 Ringkøbing",6950,Ringkøbing,3795000,Fritidsbolig,4,118,
"Lyngbygårdsvej 7, Lyngby, 9480 Løkken",9480,Løkken,1545000,Fritidsbolig,4,79,
"Hjelmvej 13, Elsegårde Strand",Elsegårde,Strand,1298000,Fritidsbolig,3,40,
"Jasminvej 24, 4872 Idestrup",4872,Idestrup,1850000,Fritidsbolig,4,78,
"Mågelunden 2, Kramnitze, 4970 Rødby",4970,Rødby,1695000,Fritidsbolig,4,124,
"Grønnevej 8, 6857 Blåvand",6857,Blåvand,2995000,Fritidsbolig,4,88,
"Baroniet 22, 3100 Hornbæk",3100,Hornbæk,4195000,Fritidsbolig,4,99,
"Strandvejen 150, 8, Tranum, 9460 Brovst",9460,Brovst,550000,Fritidsbolig,3,63,
"Kronvildtvej 20, Krogen, 9460 Brovst",9460,Brovst,1695000,Fritidsbolig,5,120,
"Øreringene 4, 8400 Ebeltoft",8400,Ebeltoft,5995000,Fritidsbolig,5,159,
"Rågeleje Strandvej 91Y, st. C7 23, 3210 Vejby",3210,Vejby,10000,Fritidsbolig,2,33,
"Vedhammervej 13, Lumsås, 4500 Nykøbing Sj",4500,Nykøbing Sj,3595000,Fritidsbolig,5,82,
"Olesbjerg 6, Vrold, 8660 Skanderborg",8660,Skanderborg,4299000,Fritidsbolig,4,137,32.0
"Hovborgvej 30N, 7200 Grindsted",7200,Grindsted,545000,Fritidsbolig,2,35,
"Strandvangen 44, Pedersker, 3720 Aakirkeby",3720,Aakirkeby,3695000,Fritidsbolig,5,120,
"Ternevej 23, Strandet, 7840 Højslev",7840,Højslev,895000,Fritidsbolig,5,83,
"Kirstinevej 10, Bjerregaard, 6960 Hvide Sande",6960,Hvide Sande,1565000,Fritidsbolig,4,82,
"Ravnsager 7, Saksild Str, 8300 Odder",8300,Odder,2498000,Fritidsbolig,5,63,24.0
"Grønningen 5, Teglgården, 6094 Hejls",6094,Hejls,1495000,Fritidsbolig,3,59,
"Søstjernevej 26, Bildsø, 4200 Slagelse",4200,Slagelse,2950000,Fritidsbolig,3,49,
"Begtrupvig Strandvej 5A, Tillerup, 8420 Knebel",8420,Knebel,2598000,Fritidsbolig,4,101,
"Ristinge Sommerland 60, Ristinge, 5932 Humble",5932,Humble,1795000,Fritidsbolig,4,94,
"Boulevarden 9P, Balka, 3730 Nexø",3730,Nexø,995000,Fritidsbolig,3,54,
"Fyrrekrat 22, Søndervig, 6950 Ringkøbing",6950,Ringkøbing,2695000,Fritidsbolig,4,107,
